sha,category,timestamp,family
5efe60acb7ba79394787ddda1762804f13d2a62d51ca933792ca8f3af39e84a3,backdoor,2019-09-04 20:50:11+00:00,berbew
984b570113ddb669f0620c2be6f670021f524903a8eecc031422dfaad760cea7,backdoor,2019-09-04 21:16:19+00:00,berbew
f99723c43fb0d80a0ee56782a75fb64fe4d60b044aef8e1988f83a5b74f3c67e,backdoor,2019-09-04 21:28:23+00:00,berbew
8922747df44f4d441072c8025aa6683cd27d6f9cc0109c38f26d5e968bb135fc,backdoor,2019-09-04 21:28:26+00:00,berbew
0d309aeb9eb6101e96f36afd6dd68b45996eeac5dc8191384633b1e52567980b,backdoor,2019-09-04 21:36:07+00:00,berbew
bb95575cbf5991ab13227d8c74082dff848040e101467cf351cd9c0f385e5708,backdoor,2019-09-04 22:56:39+00:00,berbew
20d00214a972e036337ae7e3d3cd16a14e8a9cc4c4a313f33d98308f6922c24d,backdoor,2019-09-04 23:40:13+00:00,berbew
617cd491e9e5804ede3c5e546eb503af89b3f774bf4708021651670807d57c35,backdoor,2019-09-05 21:40:39+00:00,berbew
4adfbb66a15ebfd137e4c43219fd7c0e6fe394cee38da02d21cda80bd7ff9e26,backdoor,2019-09-05 22:53:09+00:00,berbew
e0af82ab73bcf4cd666d4043904b26e8b79bdee5d6cff51c633176360029a0b3,backdoor,2019-09-06 21:37:01+00:00,berbew
2596534449818479fb8e66eb434f805c512596f3fefd5f2a643dd86b2bb45ba0,backdoor,2019-09-06 21:58:08+00:00,berbew
37d08d1307c57c23a4bd5ac1abc1fc32af4fa14d27976b8d66275d3fa2ac83b6,backdoor,2019-09-26 11:31:59+00:00,berbew
39e25fa318c6a36828482f4a97c91cbf7222b6af0db660564978bea8f8c45e7d,backdoor,2019-10-01 11:54:54+00:00,berbew
bbfe91c5332f9e49edeb7ae7f8b510d5787ea2a421ab60b5b04b9620ac517632,backdoor,2019-10-01 11:55:39+00:00,berbew
8184e91b575177aa5010b24095aa1a1cc5c0dfed77e819860bd2088d1de2005b,backdoor,2019-10-03 12:05:10+00:00,berbew
